,id,title,release_date,vote_average,vote_count,popularity
360,862,Toy Story,1995-10-30,8.0,16763,92.312
361,414419,Kill Bill: The Whole Bloody Affair,2011-03-27,8.0,882,17.735
362,315620,Doctor Who: A Christmas Carol,2010-12-25,8.0,207,7.837
363,1092,The Third Man,1949-08-31,8.0,1594,14.008
364,640,Catch Me If You Can,2002-12-16,8.0,13983,47.696
365,11712,Sanjuro,1962-01-01,8.0,510,12.55
366,1580,Rope,1948-03-11,8.0,2317,13.376
367,38360,The Cranes Are Flying,1957-10-12,8.0,294,10.016
368,10515,Castle in the Sky,1986-08-02,8.0,3590,34.541
369,70,Million Dollar Baby,2004-12-15,8.0,8669,28.726
370,38286,Three Men and a Leg,1997-12-27,8.0,1936,7.597
371,3777,Throne of Blood,1957-01-15,8.0,698,13.605
372,654,On the Waterfront,1954-06-22,8.0,1351,15.348
373,234,The Cabinet of Dr. Caligari,1920-02-27,8.0,1322,19.815
374,522402,Finch,2021-11-04,8.0,2925,45.396
375,458302,"Remi, Nobody's Boy",2018-12-12,8.0,379,9.342
376,21334,Children of Heaven,1997-08-01,8.0,525,12.781
377,775,A Trip to the Moon,1902-04-17,8.0,1529,14.13
378,41050,La Notte,1961-01-24,8.0,575,8.006
379,10404,Raise the Red Lantern,1991-12-18,8.0,605,13.348
380,110,Three Colors: Red,1994-05-12,8.0,1178,14.71
381,360814,Dangal,2016-12-21,8.0,827,13.511
382,28971,Limelight,1952-10-23,8.0,450,7.181
383,94047,My Way,2011-12-21,8.0,321,12.952
384,149,Akira,1988-07-16,8.0,3578,35.537
385,698508,Redeeming Love,2022-01-21,8.0,250,31.878
386,715931,Emancipation,2022-12-02,7.9,884,42.583
387,160885,Tel chi el telùn,1999-05-12,7.9,307,5.542
388,501929,The Mitchells vs. the Machines,2021-04-22,7.9,2442,27.39
389,489412,It's Such a Beautiful Day,2012-08-24,7.9,255,6.525
390,76203,12 Years a Slave,2013-10-18,7.9,10397,123.448
391,158445,Miracle in Cell No. 7,2013-01-23,7.9,377,12.978
392,438695,Sing 2,2021-12-01,7.9,3726,136.233
393,31411,The Cameraman,1928-09-10,7.9,300,11.32
394,14160,Up,2009-05-28,7.9,18476,72.636
395,667520,A Whisker Away,2020-06-18,7.9,1189,42.525
396,5925,The Great Escape,1963-06-20,7.9,2197,21.799
397,698948,Thirteen Lives,2022-07-18,7.9,993,27.456
398,698201,Tokyo Revengers,2021-07-09,7.9,212,17.593
399,745,The Sixth Sense,1999-08-06,7.9,10492,52.364
400,405,La Strada,1954-09-23,7.9,918,8.479
401,491480,The Boy Who Harnessed the Wind,2019-02-14,7.9,1472,41.621
402,11010,The Postman,1994-04-07,7.9,1039,10.469
403,920394,My Father's Violin,2022-01-21,7.9,312,9.787
404,523781,Words on Bathroom Walls,2020-08-21,7.9,486,11.088
